Price,Close,High,Low,Open,Volume
Ticker,SEB,SEB,SEB,SEB,SEB
Date,,,,,
2022-03-11,3822.7021484375,3852.615532366455,3790.266257422991,3793.4910575295876,400
2022-03-14,3907.328857421875,3907.328857421875,3790.256978000853,3818.587792245534,1100
2022-03-15,3894.251220703125,3943.572576150304,3855.1679359299656,3906.3491121555894,500
2022-03-16,3884.63671875,3936.0255947129526,3857.8788186430043,3936.0255947129526,700
2022-03-17,3913.98583984375,3936.0252360671266,3860.8460659386765,3870.678652070878,900
2022-03-18,3930.10009765625,3990.817056043618,3814.71005548019,3904.9646215771495,1600
2022-03-21,3951.74365234375,3956.798568777043,3861.657414811868,3953.920084759632,900
2022-03-22,3939.071533203125,3988.4522938457203,3872.478556747322,3954.8195116059496,1000
2022-03-23,3930.535400390625,3984.466585992791,3882.1735345407883,3936.025506887728,1000
2022-03-24,4043.333251953125,4045.8062507636837,3880.966148308733,3955.1660142808955,600
2022-03-25,4036.93310546875,4095.285974954141,4028.020408215764,4036.7254122120758,700
2022-03-28,4055.896484375,4134.854220511699,3952.356800711994,4067.786682578211,1000
2022-03-29,3999.09619140625,4134.853921503797,3986.473996090982,4096.176124344676,1800
2022-03-30,4070.546875,4075.453266593741,4003.508554300467,4003.508554300467,1000
2022-03-31,4160.068359375,4203.058926067551,4063.1364796575904,4139.680612255788,1800
2022-04-01,4220.56787109375,4239.313394470992,4093.3074544016954,4193.602525071987,1000
2022-04-04,4200.41845703125,4253.568134649246,4092.467215668944,4233.675465025774,700
2022-04-05,4204.0888671875,4259.484047783044,4157.615803779116,4207.59018959383,600
2022-04-06,4253.568359375,4281.25629075152,4157.586525250586,4194.206717372099,900
2022-04-07,4209.87451171875,4310.090367839583,4204.404451180931,4278.287701526854,1400
2022-04-08,4174.1943359375,4240.698198086134,4157.704457780852,4209.04381452216,1100
2022-04-11,4139.78076171875,4224.8717355442095,4108.136515851571,4186.609318924195,400
2022-04-12,4107.15673828125,4346.790341327645,4107.15673828125,4139.8003250739475,600
2022-04-13,4110.125,4162.552587244284,4083.426266652095,4143.1545152060535,400
2022-04-14,4152.00634765625,4162.54170841477,4085.393809927977,4105.177799322301,400
2022-04-18,4105.18701171875,4182.0677986429955,4094.2961585886706,4152.658920936274,400
2022-04-19,4163.0849609375,4166.992491469608,4105.177193880096,4124.961180356627,700
2022-04-20,4176.83544921875,4218.787554278866,4105.17789590748,4172.196161557536,1100
2022-04-21,4225.06884765625,4287.190379378235,4154.637654219794,4193.008739195441,700
2022-04-22,4182.2763671875,4287.190931421264,4174.896977044444,4224.574791915729,600
2022-04-25,4161.2265625,4271.106931840407,4129.15678860586,4194.206322748989,800
2022-04-26,4201.1103515625,4220.735914511894,4124.961795577395,4150.680981832794,600
2022-04-27,4129.92822265625,4233.754576277746,4129.908419343517,4174.422402306501,1000
2022-04-28,4129.91796875,4178.517711931932,4080.4483288540214,4110.668183274367,700
2022-04-29,4179.35791015625,4191.732563118443,4123.230502942407,4149.780460944976,1000
2022-05-02,4035.953857421875,4216.462967070737,3986.9785793747037,4164.025732196623,2300
2022-05-03,3987.690673828125,4089.845325328045,3950.2889828400907,4036.933053829218,900
2022-05-04,3962.59521484375,4034.9451673064664,3877.9295341613247,3971.78467626206,1100
2022-05-05,3916.83447265625,4076.4815166647795,3882.6080730414274,4075.9767737512234,600
2022-05-06,3882.628173828125,3921.038870988869,3868.8585928883017,3901.4031626281762,500
